Stock No.,name,price,stock,image_filename
110,80 L Storage Box (with Wheels),1220.0,12,C:\Program Files\POS Application\product_images\110 copy.jpg
339-1,800 ml Air Tight Canister,100.0,96,C:\Program Files\POS Application\product_images\339-1 copy.jpg
339-2,1.6 L Canister,120.0,72,C:\Program Files\POS Application\product_images\339-2 copy.jpg
339-3,2 L Canister Airtight Canister,145.0,72,C:\Program Files\POS Application\product_images\339-3 copy.jpg
339-4,2.8 L Canister Airtight Canister,175.0,72,C:\Program Files\POS Application\product_images\339-4 copy.jpg
341-1,400 ml Food Keeper Air Tight,85.0,48,C:\Program Files\POS Application\product_images\341-1 copy.jpg
342-1,1.1L Food Keeper Air Tight,120.0,0,C:\Program Files\POS Application\product_images\342-1 copy.jpg
343-2,4.7L Food Keeper air tight Food Rock,170.0,12,C:\Program Files\POS Application\product_images\343-2 copy.jpg
355-1,600 ml Food Rock airtight Food Rock,85.0,72,C:\Program Files\POS Application\product_images\355-1 copy.jpg
355-2,850 ml Food Rock airtight Food Rock,100.0,48,C:\Program Files\POS Application\product_images\355-2 copy.jpg
356-2,1.6L Food Rock airtight Food Rock,130.0,48,C:\Program Files\POS Application\product_images\356 -2 copy.jpg
511,9 L Go Fresh Food Container,195.0,24,C:\Program Files\POS Application\product_images\511 copy.jpg
616-B,6.3 L Airtight Grab & Go Handy Box-Big,220.0,24,C:\Program Files\POS Application\product_images\616-B copy.jpg
616-S,4.3 L Airtight Grab & Go Handy Box-S,200.0,24,C:\Program Files\POS Application\product_images\616-S copy.jpg
714-B,5L Buffet Catering Tray,225.0,10,C:\Program Files\POS Application\product_images\714-B copy.jpg
714-S,3.5L Buffet Catering Tray,210.0,12,C:\Program Files\POS Application\product_images\714-S copy.jpg
2178-BLUE,50 L Crates Deluxe - BLUE,700.0,3,C:\Program Files\POS Application\product_images\2178-BLUE copy.jpg
2178-RED,50 L Crates Deluxe - RED,700.0,3,C:\Program Files\POS Application\product_images\2178-RED copy.jpg
2178-GREEN,50 L Crates Deluxe - GREEN,700.0,3,C:\Program Files\POS Application\product_images\2178-GREEN copy.jpg
2178-YELLOW,50 L Crates Deluxe - YELLOW,700.0,3,C:\Program Files\POS Application\product_images\2178-YELLOW copy.jpg
724,2.5 L EZI Food Saver,100.0,24,
725,4 L EZI Food Saver,125.0,24,C:\Program Files\POS Application\product_images\725 copy.jpg
727,3 L EZI Food Keeper,155.0,24,C:\Program Files\POS Application\product_images\727 copy.jpg
728,1.8 L EZI Rectangle Food Keeper,100.0,72,C:\Program Files\POS Application\product_images\728 copy.jpg
811,1.1L Urban Gourmet,80.0,0,C:\Program Files\POS Application\product_images\811 copy.jpg
812,2.25L Urban Gourmet,95.0,0,C:\Program Files\POS Application\product_images\812 copy.jpg
813,3.5L Urban Gourmet,105.0,12,C:\Program Files\POS Application\product_images\813 copy.jpg
821,1.4 L Fridge Grid Food Keeper,95.0,48,C:\Program Files\POS Application\product_images\821 copy.jpg
823,3.6 L Fridge Grid Food Keeper,155.0,24,C:\Program Files\POS Application\product_images\823 copy.jpg
825,7.5 L Fridge Grid Food Keeper,220.0,0,C:\Program Files\POS Application\product_images\825 copy.jpg
831,200ml Urban Gourmet,30.0,0,C:\Program Files\POS Application\product_images\831 copy.jpg
832,400ml Urban Gourmet,35.0,0,C:\Program Files\POS Application\product_images\832 copy.jpg
833,600ml Urban Gourmet,40.0,36,C:\Program Files\POS Application\product_images\833 copy.jpg
841,500ml Urban Gourmet,50.0,0,C:\Program Files\POS Application\product_images\841 copy.jpg
842,1L Urban Gourmet,60.0,36,C:\Program Files\POS Application\product_images\842 copy.jpg
843,1.5 L Urban Gourmet,75.0,36,C:\Program Files\POS Application\product_images\843 copy.jpg
851,1.1 L Urban Gourmet,65.0,36,C:\Program Files\POS Application\product_images\851 copy.jpg
852,2.3 L Urban Gourmet,85.0,12,C:\Program Files\POS Application\product_images\852 copy.jpg
860,30 L Under Bed Storage Box,705.0,12,C:\Program Files\POS Application\product_images\860 copy.jpg
861,50L Under bed Storage Box,835.0,0,C:\Program Files\POS Application\product_images\861 copy.jpg
869,120 L Storage Bin (with wheels),1380.0,12,C:\Program Files\POS Application\product_images\869 copy.jpg
870-BROWN,4-seater Table - BROWN,1475.0,3,C:\Program Files\POS Application\product_images\870_BROWN copy.jpg
870-GRAY,4-seater Table - GRAY,1475.0,3,C:\Program Files\POS Application\product_images\870_GRAY copy.jpg
870-MOCHA,4-seater Table - MOCHA,1475.0,3,C:\Program Files\POS Application\product_images\870_MOCHA copy.jpg
871-BROWN,6-seater Table - BROWN,1840.0,0,C:\Program Files\POS Application\product_images\871_BROWN copy.jpg
871-GRAY,6-seater Table - GRAY,1840.0,3,C:\Program Files\POS Application\product_images\871-GRAY copy.jpg
871-MOCHA,6-seater Table - MOCHA,1840.0,3,C:\Program Files\POS Application\product_images\871_MOCHA copy.jpg
2078-BLUE,35 L Crates Hi-den Deluxe - BLUE,300.0,0,C:\Program Files\POS Application\product_images\2078-BLUE copy.jpg
2078-RED,35 L Crates Hi-den Deluxe - RED,300.0,6,C:\Program Files\POS Application\product_images\2078-REDpsd copy.jpg
2078-GREEN,35 L Crates Hi-den Deluxe - GREEN,300.0,0,C:\Program Files\POS Application\product_images\2078-GREEN copy.jpg
2078-YELLOW,35 L Crates Hi-den Deluxe - YELLOW,300.0,6,C:\Program Files\POS Application\product_images\2078-YELLOW copy.jpg
2078-BLACK,35 L Crates Hi-den Deluxe,300.0,0,C:\Program Files\POS Application\product_images\2078-BLK copy.jpg
2178-BLACK,50 L Crate Deluxe,440.0,0,C:\Program Files\POS Application\product_images\2178-BLK copy.jpg
2206-BROWN,Laundry Basket - Deluxe Brown,350.0,12,
2506,3L Pitcher,115.0,36,C:\Program Files\POS Application\product_images\2506 copy.jpg
9159,Blockmate,1200.0,20,C:\Program Files\POS Application\product_images\9159 copy.jpg
9517-BROWN,High Stool - Rectangle 18 1/4 Inch - BROWN,335.0,12,C:\Program Files\POS Application\product_images\9517 copy.jpg
9517-GRAY,High Stool - Rectangle 18 1/4 Inch - GRAY,335.0,12,
9614,Bowl - Square 4 pcs,85.0,48,C:\Program Files\POS Application\product_images\9614 copy.jpg
9616,Plate Square - Small 4 pcs,130.0,0,C:\Program Files\POS Application\product_images\9616 copy.jpg
9626,Plate Square 4 pcs,155.0,48,C:\Program Files\POS Application\product_images\9626 copy.jpg
