Stock No.,name,price,stock,original_stock,qty_sold,revenue
25-cm-01,"Christmas set bundle #511,#2336,#9505",375.0,999,0,0,0.0
25-cm-02,Christmas set bundle #286,350.0,999,0,0,0.0
25-cm-03,Christmas set bundle #9613L,295.0,999,0,0,0.0
25-cm-04,Christmas set bundle #821,300.0,999,0,0,0.0
25-cm-05,Christmas set bundle #186,240.0,999,0,0,0.0
25-cm-06,Christmas set bundle #725,275.0,999,0,0,0.0
25-cm-07,"Christmas set bundle #339-1,#339-3,#339-4",440.0,999,0,0,0.0
25-cm-08,"Christmas set bundle #339-1, #616-S",420.0,999,0,0,0.0
25-cm-09,"Christmas set bundle #811, #812,#813",335.0,999,0,0,0.0
25-cm-10,Christmas set bundle #843,375.0,999,0,0,0.0
25-cm-11,Christmas set bundle #728,315.0,999,0,0,0.0
25-cm-12,Christmas set bundle #727,330.0,999,0,0,0.0
727,3L EZI Food Keeper,150.0,999,24,0,0.0
728,1.8L Rectangular EZI Food Keeper,100.0,999,72,0,0.0
510,Lunch Box,80.0,999,0,0,0.0
517,Salad Lunch Box,55.0,999,0,0,0.0
982-M,Tumbler - Medium,70.0,999,0,0,0.0
339-1,Airtight Canister,100.0,999,96,0,0.0
339-2,Airtight Canister,120.0,999,72,0,0.0
339-3,Airtight Canister,140.0,999,72,0,0.0
339-4,Airtight Canister,175.0,999,72,0,0.0
811,1.1L Urban Gourmet,80.0,999,0,0,0.0
812,2.25L Urban Gourmet,90.0,999,0,0,0.0
813,3.5L Urban Gourmet,105.0,999,12,0,0.0
831,200ml Urban Gourmet,28.0,999,0,0,0.0
832,400ml Urban Gourmet,35.0,999,0,0,0.0
833,600ml Urban Gourmet,40.0,999,36,0,0.0
841,500ml Urban Gourmet,48.0,999,0,0,0.0
842,1L Urban Gourmet,60.0,999,36,0,0.0
843,1.5 L Urban Gourmet,75.0,999,36,0,0.0
851,1.1 L Urban Gourmet,60.0,999,36,0,0.0
852,2.3 L Urban Gourmet,85.0,999,12,0,0.0
9848-S,11L Juice Dispenser with FREE Ladle,515.0,999,0,0,0.0
9868-S,22 L Double Quencher Dispenser,980.0,999,0,0,0.0
2506,Pitcher (with twist lock feature),115.0,999,36,0,0.0
9616,Square Plate (Small) - 4pcs per set,130.0,999,0,0,0.0
9626,Square Plate (BIg) - 4pcs per set,155.0,999,48,0,0.0
9614,Square Bowl - 4pcs per set,85.0,999,48,0,0.0
714-S,Buffet Tray,210.0,999,12,0,0.0
714-B,Buffet Tray,225.0,999,10,0,0.0
ST-PT-SET-55,Stainless Steel Spoon & Fork w/ 909 Traveller's Case,260.0,999,60,0,0.0
616-S,4.3 L Airtight Grab & Go Handy Box-S,200.0,999,24,0,0.0
616-B,Airtight Grab & Go,220.0,999,24,0,0.0
9759-M,Shoemate,305.0,999,0,0,0.0
9759-L,Shoemate,355.0,999,0,0,0.0
2207 -  Brown,Laundry Basket,435.0,999,0,0,0.0
2207 - Cream,Laundry Basket,435.0,999,0,0,0.0
2206-A,Laundry Basket,340.0,999,0,0,0.0
233,19.5L Trash Bin,275.0,999,0,0,0.0
234,24.5L Trash Bin,305.0,999,0,0,0.0
2501-1,Laundry Stool - Small,90.0,999,0,0,0.0
2501-2,Laundry Stool - Medium,120.0,999,0,0,0.0
2501-3,Laundry Stool - Large,140.0,999,0,0,0.0
9517 - Brown,Rectangular Stool,330.0,999,0,0,0.0
9517 - Gray,Rectangular Stool,330.0,999,0,0,0.0
9516-brown,Monobloc Square Stool,315.0,999,0,0,0.0
9516-gray,Monobloc Square Stool,315.0,999,0,0,0.0
861,50L Under Bed Storage Box,835.0,999,0,0,0.0
860,30L Under Bed Storage Box,705.0,999,12,0,0.0
9823,15L Handy Stock Box,340.0,999,12,0,0.0
109,50 L Storage Box,865.0,999,0,0,0.0
801,Stock Box - small (10 liters),240.0,999,0,0,0.0
870 - Brown,4-seater Table,1540.0,999,999,0,0.0
870 - GRAY,4-seater Table,1540.0,999,999,0,0.0
870 - MOCHA,4-seater Table,1540.0,999,999,0,0.0
871 - Brown,6-seater Table,1920.0,999,999,0,0.0
871 - GRAY,6-seater Table,1920.0,999,999,0,0.0
871 - MOCHA,6-seater Table,1920.0,999,999,0,0.0
9716- Gray,Chair with Backrest,450.0,999,999,0,0.0
9716- Mocha,Chair with Backrest,450.0,999,999,0,0.0
9716- Brown,Chair with Backrest,450.0,995,999,4,2890.0
9718- gray,Chair with Armrest,500.0,999,0,0,0.0
9718-mocha,Chair with Armrest,500.0,999,0,0,0.0
9718-brown,Chair with Armrest,500.0,999,0,0,0.0
EB-S,Ecobag small,10.0,999,999,0,0.0
EB-B,Ecobag Big,15.0,999,999,0,0.0
